ID	locality	transcriptome	species
14465	Mollafeneri	no	anatolicus
14466	Mollafeneri	no	anatolicus
14467	Kethüda	no	anatolicus
14468	Fushë-Krujë	no	macedonicus
14469	Fushë-Krujë	no	macedonicus
14470	Fushë-Krujë	no	macedonicus
14471	Pefkodasos	no	macedonicus
14472	Pefkodasos	no	macedonicus
14473	Pefkodasos	no	macedonicus
14474	Krivi Vir	no	macedonicus
14475	Krivi Vir	no	macedonicus
14476	Krivi Vir	no	macedonicus
14477	Zlot	no	cristatus
14478	Zlot	no	cristatus
14479	Zlot	no	cristatus
14480	Rtanj	no	cristatus
14481	Rtanj	no	cristatus
14482	Rtanj	no	cristatus
14483	Promaja	no	macedonicus
14484	Promaja	no	macedonicus
14485	Promaja	no	macedonicus
14486	Zli Dol	no	ivanbureschi
14487	Zli Dol	no	ivanbureschi
14488	Ljuberadja	no	macedonicus
14489	Vlasi2	no	ivanbureschi
14490	Vlasi2	no	ivanbureschi
14491	Vlasi2	no	ivanbureschi
14492	Ljuberadja	no	macedonicus
14493	Ljuberadja	no	macedonicus
14494	Ostar Kamak	no	ivanbureschi
14495	Ostar Kamak	no	ivanbureschi
14496	Ostar Kamak	no	ivanbureschi
14497	Golesh	no	ivanbureschi
14498	Avdancık	no	anatolicus
14499	Avdancık	no	anatolicus
14500	Avdancık	no	anatolicus
14501	Yalıçiftlik	no	anatolicus
14502	Yalıçiftlik	no	anatolicus
14503	Yalıçiftlik	no	anatolicus
14504	Dursunköy	no	ivanbureschi
14505	Dursunköy	no	ivanbureschi
14506	Dursunköy	no	ivanbureschi
14507	Kuyumculu	no	anatolicus
14508	Kuyumculu	no	anatolicus
14509	Kuyumculu	no	anatolicus
14510	Alibahadır2	no	anatolicus
14511	Alibahadır2	no	anatolicus
14512	Alexandrovo	no	ivanbureschi
14513	Alexandrovo	no	ivanbureschi
14514	Aghios Kosmas	no	ivanbureschi
14515	Aghios Kosmas	no	ivanbureschi
14529	Karacabey	no	ivanbureschi
14530	Karacabey	no	ivanbureschi
14533	Milanovac	no	cristatus
14539	Milanovac	no	cristatus
14544	Yakacık	no	anatolicus
14545	Bozdağ	no	ivanbureschi
14546	Bozdağ	no	ivanbureschi
14547	Salihler	no	ivanbureschi
14554	Abanta Gölu	no	anatolicus
14555	Abanta Gölu	no	anatolicus
14556	Gulluce	no	ivanbureschi
14557	Gulluce	no	ivanbureschi
14566	Çakırlı	no	anatolicus
14567	Çakırlı	no	anatolicus
14568	Çakırlı	no	anatolicus
14580	Parshevitsa	no	cristatus
14581	Parshevitsa	no	cristatus
14582	Montana2	no	cristatus
14583	Montana2	no	cristatus
14584	Parshevitsa	no	cristatus
14585	Dojran	no	macedonicus
14586	Dojran	no	macedonicus
14587	Dojran	no	macedonicus
14605	Doganovic	no	macedonicus
14606	Doganovic	no	macedonicus
14621	Prepolac	no	macedonicus
14622	Prepolac	no	macedonicus
14623	Prepolac	no	macedonicus
14647	Abanta Gölu	no	NA
14648	Montana2	no	cristatus
14664	Baçeköy Merkez	no	ivanbureschi
14665	Kirazlıyayla	no	anatolicus
14666	Kirazlıyayla	no	anatolicus
14667	Seben	no	anatolicus
14668	Seben	no	anatolicus
14669	Seben	no	anatolicus
14798	Doganovic	no	macedonicus
14691	Karacabey	no	ivanbureschi
14692	Lucane	no	macedonicus
14693	Lucane	no	macedonicus
14694	Lucane	no	macedonicus
14698	Aranđelovac	no	ivanbureschi
14699	Aranđelovac	no	ivanbureschi
14700	Aranđelovac	no	ivanbureschi
14703	Milanovac	no	cristatus
14708	Kentriko2	no	ivanbureschi
14709	Dafnochori	no	ivanbureschi
14710	Dafnochori	no	ivanbureschi
14714	Resavica Pecina	no	ivanbureschi
14715	Resavica Pecina	no	ivanbureschi
14722	Resavica Pecina	no	ivanbureschi
14716	Sisevac	no	ivanbureschi
14717	Sisevac	no	ivanbureschi
14721	Sisevac	no	ivanbureschi
14723	Kentriko2	no	ivanbureschi
14724	Kentriko2	no	ivanbureschi
14734	Yakacık	no	anatolicus
14735	Yakacık	no	anatolicus
14736	Bozdağ	no	ivanbureschi
14737	Salihler	no	ivanbureschi
14738	Salihler	no	ivanbureschi
14742	Mollafeneri	no	anatolicus
14743	Gulluce	no	ivanbureschi
14745	Çıbanköy	no	anatolicus
14746	Çıbanköy	no	anatolicus
14747	Çıbanköy	no	anatolicus
14748	Kethüda	no	anatolicus
14749	Kethüda	no	anatolicus
14758	Zverino	no	ivanbureschi
14759	Zverino	no	ivanbureschi
14783	Zli Dol	no	ivanbureschi
14785	Baçeköy Merkez	no	ivanbureschi
14786	Baçeköy Merkez	no	ivanbureschi
14787	Kirazlıyayla	no	anatolicus
13155	Ecka	no	dobrogicus
13156	Ecka	no	dobrogicus
13157	Ecka	no	dobrogicus
13163	Ecka	no	dobrogicus
13164	Ecka	no	dobrogicus
13170	Senta	no	dobrogicus
13171	Senta	no	dobrogicus
13174	Senta	no	dobrogicus
13175	Senta	no	dobrogicus
13178	Senta	no	dobrogicus
5074	Pomi	no	cristatus
5075	Pomi	no	cristatus
5077	Pomi	no	cristatus
5080	Pomi	no	cristatus
5081	Pomi	no	cristatus
5102	Strâmba	no	cristatus
5106	Strâmba	no	cristatus
5108	Strâmba	no	cristatus
5109	Strâmba	no	cristatus
5110	Strâmba	no	cristatus
3815	Kolibari	no	macedonicus
3816	Kolibari	no	macedonicus
3818	Kolibari	no	macedonicus
3820	Kolibari	no	macedonicus
3821	Kolibari	no	macedonicus
4452	Leskoec	no	macedonicus
4453	Leskoec	no	macedonicus
4454	Leskoec	no	macedonicus
4457	Leskoec	no	macedonicus
4460	Leskoec	no	macedonicus
14517	Tîrgoviste	no	cristatus
14518	Tîrgoviste	no	cristatus
14519	Tîrgoviste	no	cristatus
14520	Virfuri	no	cristatus
14521	Virfuri	no	cristatus
14522	Karlovo	no	ivanbureschi
14523	Karlovo	no	ivanbureschi
14524	Stanisinci	no	macedonicus
14525	Stanisinci	no	macedonicus
14526	Adapazari	no	anatolicus
14527	Adapazari	no	anatolicus
14528	Bor	no	cristatus
14531	Bor	no	cristatus
14532	Levski	no	ivanbureschi
14534	Mitrašinci	no	ivanbureschi
14535	Mitrašinci	no	ivanbureschi
14536	Vitanovac	no	ivanbureschi
14537	Vitanovac	no	ivanbureschi
14538	Vitanovac	no	ivanbureschi
14541	Karan2	no	macedonicus
14542	Karan2	no	macedonicus
14543	Karan2	no	macedonicus
14548	Yaya	no	ivanbureschi
14549	Yaya	no	ivanbureschi
14550	Yaya	no	ivanbureschi
14551	Ulukir	no	ivanbureschi
14552	Ulukir	no	ivanbureschi
14553	Ulukir	no	ivanbureschi
14558	Kocabey	no	ivanbureschi
14559	Kocabey	no	ivanbureschi
14560	Gölköy	no	anatolicus
14561	Gölköy	no	anatolicus
14562	Gölköy	no	anatolicus
14563	Karakoç	no	anatolicus
14564	Karakoç	no	anatolicus
14565	Karakoç	no	anatolicus
14569	Büyük Kalecik	no	ivanbureschi
14570	Dendrariuma	no	ivanbureschi
14571	Dendrariuma	no	ivanbureschi
14572	Kolarovo	no	ivanbureschi
14573	Kolarovo	no	ivanbureschi
14574	Kolarovo	no	ivanbureschi
14575	Alepu	no	ivanbureschi
14576	Bolata	no	ivanbureschi
14577	Livade	no	ivanbureschi
14578	Livade	no	ivanbureschi
14579	Livade	no	ivanbureschi
14588	Todorovce	no	macedonicus
14589	Todorovce	no	macedonicus
14590	Grdelica	no	macedonicus
14591	Bjeloši2	no	macedonicus
14592	Bejar	no	macedonicus
14593	Bejar	no	macedonicus
14594	Rugince	no	macedonicus
14595	Rugince	no	macedonicus
14596	Debreste	no	macedonicus
14597	Debreste	no	macedonicus
14598	Drugovo	no	macedonicus
14599	Rataje	no	macedonicus
14600	Rataje	no	macedonicus
14601	Rataje	no	macedonicus
14602	Blato	no	macedonicus
14603	Blato	no	macedonicus
14604	Blato	no	macedonicus
14607	Pogradec	no	macedonicus
14608	Pogradec	no	macedonicus
14609	Loznani	no	macedonicus
14610	Loznani	no	macedonicus
14611	Loznani	no	macedonicus
14612	Rugince	no	macedonicus
14613	Drugovo	no	macedonicus
14614	Drugovo	no	macedonicus
14615	Gostivar	no	macedonicus
14616	Gostivar	no	macedonicus
14617	Gostivar	no	macedonicus
14618	Vrtovac	no	macedonicus
14619	Vrtovac	no	macedonicus
14620	Vrtovac	no	macedonicus
14624	Kijevo2	no	macedonicus
14625	Budeni	no	cristatus
14626	Budeni	no	cristatus
14627	Garnikovo1	no	NA
14628	Garnikovo1	no	ivanbureschi
14629	Garnikovo1	no	ivanbureschi
14630	Trilofos	no	macedonicus
14631	Trilofos	no	macedonicus
14632	Trilofos	no	macedonicus
14633	Kerameia	no	macedonicus
14634	Kerameia	no	macedonicus
14635	Kerameia	no	macedonicus
14636	Jezero	no	ivanbureschi
14637	Jezero	no	ivanbureschi
14638	Jezero	no	ivanbureschi
14639	Gornji Varbes	no	macedonicus
14640	Gornji Varbes	no	macedonicus
14641	Gornji Varbes	no	macedonicus
14642	Gürbulak	no	anatolicus
14643	Gürbulak	no	anatolicus
14644	Ciceu	no	cristatus
14645	Ciceu	no	cristatus
14646	Ciceu	no	cristatus
14649	Sikole	no	cristatus
14650	Sikole	no	cristatus
14651	Sikole	no	cristatus
14652	Borovan	no	cristatus
14653	Borovan	no	cristatus
14654	Borovan	no	cristatus
14655	Borovitsa	no	cristatus
14656	Borovitsa	no	cristatus
14657	Borovitsa	no	cristatus
14658	Trnavac	no	cristatus
14659	Trnavac	no	cristatus
14660	Trnavac	no	cristatus
14661	Jezero Ploce	no	macedonicus
14662	Kijevo2	no	macedonicus
14663	Kijevo2	no	macedonicus
14670	Safibey	no	anatolicus
14671	Safibey	no	anatolicus
14672	Izgrev	no	ivanbureschi
14673	Izgrev	no	ivanbureschi
14674	Meri	no	cristatus
14675	Meri	no	cristatus
14676	Meri	no	cristatus
14677	Hanköy	no	anatolicus
14678	Hanköy	no	anatolicus
14679	Hanköy	no	anatolicus
14680	Safaalan	no	ivanbureschi
14681	Safaalan	no	ivanbureschi
14682	Safaalan	no	ivanbureschi
14683	Saricaali	no	ivanbureschi
14684	Saricaali	no	ivanbureschi
14685	Saricaali	no	ivanbureschi
14686	Virfuri	no	cristatus
14687	Karlovo	no	ivanbureschi
14688	Stanisinci	no	macedonicus
14689	Adapazari	no	anatolicus
14690	Bor	no	cristatus
14695	Klokocevac	no	cristatus
14696	Klokocevac	no	cristatus
14697	Klokocevac	no	cristatus
14701	Levski	no	ivanbureschi
14702	Levski	no	ivanbureschi
14704	Bigla	no	ivanbureschi
14705	Bigla	no	ivanbureschi
14706	Bigla	no	ivanbureschi
14707	Mitrašinci	no	ivanbureschi
14711	Grivac	no	ivanbureschi
14712	Grivac	no	ivanbureschi
14713	Grivac	no	ivanbureschi
14718	Probistip	no	macedonicus
14719	Probistip	no	macedonicus
14720	Probistip	no	macedonicus
14725	Visegrad	no	macedonicus
14726	Visegrad	no	macedonicus
14727	Visegrad	no	macedonicus
14728	Divcibare	no	macedonicus
14729	Divcibare	no	macedonicus
14730	Divcibare	no	macedonicus
14731	Tavna Monastire	no	macedonicus
14732	Tavna Monastire	no	macedonicus
14733	Tavna Monastire	no	macedonicus
14739	Sugören	no	anatolicus
14740	Sugören	no	anatolicus
14741	Sugören	no	anatolicus
14744	Kocabey	no	ivanbureschi
14750	Keşan	no	ivanbureschi
14751	Keşan	no	ivanbureschi
14752	Keşan	no	ivanbureschi
14753	Büyük Kalecik	no	ivanbureschi
14754	Büyük Kalecik	no	ivanbureschi
14755	Shumnatitsa	no	ivanbureschi
14756	Shumnatitsa	no	ivanbureschi
14757	Shumnatitsa	no	ivanbureschi
14760	Alepu	no	ivanbureschi
14761	Alepu	no	ivanbureschi
14762	Bolata	no	ivanbureschi
14764	Alistrati	no	ivanbureschi
14765	Alistrati	no	ivanbureschi
14769	Todorovce	no	macedonicus
14770	Grdelica	no	macedonicus
14771	Grdelica	no	macedonicus
14772	Bjeloši2	no	macedonicus
14773	Bjeloši2	no	macedonicus
14774	Kolsh	no	macedonicus
14775	Kolsh	no	macedonicus
14776	Kolsh	no	macedonicus
14779	Delimedje	no	macedonicus
14780	Delimedje	no	macedonicus
14781	Delimedje	no	macedonicus
14782	Budeni	no	cristatus
14784	Gürbulak	no	anatolicus
14788	Safibey	no	anatolicus
14789	Ano Kalliniki	no	macedonicus
14790	Ano Kalliniki	no	macedonicus
14791	Ano Kalliniki	no	NA
