locality	loc_abr	latitude	longitude	country	Tdob_Tcri	Tcri_Tiva	Tdob_Tiva	Tana_Tiva	Tcri_Tmac	Tdob_Tmac	Tiva_Tmac
Abanta Gölu	AbanGolu	40.612	31.288	Turkey	571.97	666.1	388.29	195.38	776.04	1032.39	700.82
Adapazari	Adapaz	40.799	30.440	Turkey	511.27	593.78	333.48	120.77	702.31	959.47	626.94
Aghios Kosmas	AgKosmas	41.084	24.671	Greece	278.68	242.26	273.4	321.64	292.89	545.05	141.14
Alepu	Alepu	42.348	27.714	Bulgaria	236.96	311.48	140.81	170.51	429.05	679.87	408.35
Alexandrovo	Alexan	42.602	25.099	Bulgaria	127.25	110.02	102.59	364.54	215.04	473.01	215.04
Alibahadır2	Alibah2	41.187	29.205	Turkey	412.84	482.19	257.42	9.05	589.92	847.59	519.45
Alistrati	Alistr	41.077	23.973	Greece	278.66	230.49	278.55	379.01	264.22	505.71	83.98
Ano Kalliniki	AnoKall	40.854	21.451	Greece	343.89	280.49	374.54	587.55	280.47	421.58	58.09
Aranđelovac	Arand	44.284	20.669	Serbia	52.14	52.25	19.56	767.02	164.15	69.51	45.22
Avdancık	Avdan	40.291	29.160	Turkey	495.42	535.29	354.86	30.21	634.83	896.12	530.57
Baçeköy Merkez	BacMer	41.175	28.992	Turkey	403.83	467.41	255.68	4.75	574.31	832.56	501.68
Bejar	Bejar	40.429	19.850	Albania	438.07	386.21	438.2	722.95	386.08	447.37	194.6
Bigla	Bigla	41.933	22.667	Macedonia	204.64	141.11	225.37	508.01	143.92	362.91	8.72
Bjeloši2	Bjel2	42.374	18.907	Montenegro	283.28	283.17	243.13	820.93	316.85	243.14	209.16
Blato	Blato	43.301	20.730	Serbia	112.47	108.85	112.42	711.36	142.41	147.32	34.63
Bolata	Bolata	43.384	28.471	Bulgaria	189.06	339.76	10.34	245.89	475.99	703.74	475.99
Bor	Bor	44.033	22.133	Serbia	42.72	30.41	69.89	650.63	58.31	189.82	39.61
Borovan	Borova	43.409	23.769	Bulgaria	33.17	26.1	45.67	501.69	96.38	336.93	96.38
Borovitsa	Borovi	43.590	22.770	Bulgaria	21.11	26.29	122.47	582.89	25.34	254.55	26.14
Bozdağ	Bozdag	38.367	28.103	Turkey	652.94	638	566.2	201.08	711.34	966.38	519.94
Budeni	Budeni	45.768	26.839	Romania	36.4	317.38	205.48	537.37	425.51	570.23	425.57
Büyük Kalecik	BuKal	38.687	30.455	Turkey	705.11	737.45	552.87	193.82	830.53	1092.05	692.64
Çakırlı	Cakili	40.446	37.483	Turkey	865.93	1146.11	811.49	711.41	1271.76	1515.42	1222.38
